,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg140107,6214,64,107,73
1,ipg140114,4402,35,62,45
2,ipg140121,4657,35,71,41
3,ipg140128,4950,38,66,38
4,ipg140204,6334,59,87,59
5,ipg140211,4960,75,107,78
6,ipg140218,6336,99,170,117
7,ipg140225,5556,70,124,84
8,ipg140304,6405,71,121,87
9,ipg140311,4109,38,81,53
10,ipg140318,6398,95,156,100
11,ipg140325,6392,69,119,76
12,ipg140401,6077,85,135,95
13,ipg140408,6154,67,124,79
14,ipg140415,6602,105,162,120
15,ipg140422,6745,101,149,111
16,ipg140429,6739,68,129,87
17,ipg140506,6745,85,126,85
18,ipg140513,6964,81,127,96
19,ipg140520,7057,126,172,126
20,ipg140527,6953,110,161,116
21,ipg140603,6962,121,180,130
22,ipg140610,6941,82,131,96
23,ipg140617,4905,50,86,60
24,ipg140624,6936,83,131,86
25,ipg140701,7065,72,147,91
26,ipg140708,6976,91,168,110
27,ipg140715,6996,103,168,121
28,ipg140722,6826,97,146,111
29,ipg140729,4999,83,107,84
30,ipg140805,6750,90,138,102
31,ipg140812,7109,93,142,107
32,ipg140819,7142,102,181,123
33,ipg140826,7101,107,174,117
34,ipg140902,7080,118,179,130
35,ipg140909,6896,109,171,124
36,ipg140916,7092,96,147,106
37,ipg140923,5020,67,104,78
38,ipg140930,7041,118,190,141
39,ipg141007,6844,90,157,98
40,ipg141014,6829,89,147,101
41,ipg141021,6499,109,161,112
42,ipg141028,6500,94,148,113
43,ipg141104,6489,116,167,127
44,ipg141111,6494,105,174,126
45,ipg141118,6488,96,159,105
46,ipg141125,6009,88,144,106
47,ipg141202,6173,111,151,121
48,ipg141209,6144,99,150,105
49,ipg141216,4990,76,109,84
50,ipg141223,4384,69,117,79
51,ipg141230,6585,117,181,140
