,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg110104,5057,0,15,1
1,ipg110111,5069,0,17,2
2,ipg110118,3849,0,10,1
3,ipg110125,4247,1,11,1
4,ipg110201,5170,0,17,4
5,ipg110208,4234,0,13,1
6,ipg110215,5070,1,10,0
7,ipg110222,5077,1,18,1
8,ipg110301,5043,1,16,4
9,ipg110308,5132,1,18,2
10,ipg110315,4123,1,15,2
11,ipg110322,5079,0,19,0
12,ipg110329,5072,1,16,2
13,ipg110405,3935,0,7,0
14,ipg110412,5075,3,9,0
15,ipg110419,5059,1,13,1
16,ipg110426,3920,2,13,1
17,ipg110503,3924,0,25,1
18,ipg110510,4540,0,19,0
19,ipg110517,4518,0,18,1
20,ipg110524,4508,0,14,1
21,ipg110531,4542,1,15,2
22,ipg110607,4931,1,15,1
23,ipg110614,4924,0,18,0
24,ipg110621,4119,3,17,2
25,ipg110628,5020,2,17,0
26,ipg110705,4351,0,17,1
27,ipg110712,5021,1,14,1
28,ipg110719,5009,4,14,4
29,ipg110726,3427,1,15,2
30,ipg110802,5114,2,27,2
31,ipg110809,5120,0,17,0
32,ipg110816,5122,3,20,3
33,ipg110823,5119,1,25,2
34,ipg110830,5102,3,20,3
35,ipg110906,5045,3,29,5
36,ipg110913,5028,2,24,2
37,ipg110920,5023,2,12,2
38,ipg110927,3966,3,16,3
39,ipg111004,5061,4,32,3
40,ipg111011,5032,3,29,4
41,ipg111018,5075,5,24,4
42,ipg111025,5063,1,23,1
43,ipg111101,5066,3,25,3
44,ipg111108,5068,9,41,8
45,ipg111115,5244,1,23,2
46,ipg111122,5239,5,31,7
47,ipg111129,4182,2,17,3
48,ipg111206,5246,3,25,2
49,ipg111213,5251,4,24,3
50,ipg111220,3961,1,16,4
51,ipg111227,4929,4,16,5
