,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg150106,6396,104,167,114
1,ipg150113,5007,96,131,88
2,ipg150120,3257,61,94,66
3,ipg150127,5204,86,125,107
4,ipg150203,6730,118,171,128
5,ipg150210,5336,120,181,140
6,ipg150217,4804,70,127,86
7,ipg150224,7495,142,215,163
8,ipg150303,7011,120,188,139
9,ipg150310,5510,106,162,110
10,ipg150317,7013,147,234,167
11,ipg150324,6816,86,142,102
12,ipg150331,6805,143,210,158
13,ipg150407,6816,135,186,144
14,ipg150414,6888,115,191,136
15,ipg150421,6590,124,181,131
16,ipg150428,6347,110,170,126
17,ipg150505,6255,129,192,152
18,ipg150512,5983,124,206,149
19,ipg150519,6166,112,178,132
20,ipg150526,6353,114,171,127
21,ipg150602,6374,116,181,147
22,ipg150609,6461,117,171,120
23,ipg150616,5268,86,121,88
24,ipg150623,6520,111,177,131
25,ipg150630,6335,103,167,115
26,ipg150707,6761,143,215,161
27,ipg150714,6613,124,204,156
28,ipg150721,5008,92,133,99
29,ipg150728,6517,119,166,131
30,ipg150804,6526,101,176,106
31,ipg150811,6750,139,190,154
32,ipg150818,6745,151,219,177
33,ipg150825,6259,118,177,136
34,ipg150901,6509,127,175,139
35,ipg150908,6820,141,208,159
36,ipg150915,6808,125,208,154
37,ipg150922,6788,122,179,129
38,ipg150929,5167,81,124,102
39,ipg151006,6776,137,208,153
40,ipg151013,6774,126,182,134
41,ipg151020,6774,127,181,137
42,ipg151027,6115,111,153,122
43,ipg151103,6763,132,198,152
44,ipg151110,6762,147,229,171
45,ipg151117,6774,128,192,144
46,ipg151124,6797,116,187,134
47,ipg151201,6771,143,221,160
48,ipg151208,6740,124,190,140
49,ipg151215,5539,115,170,119
50,ipg151222,4609,83,119,89
51,ipg151229,6764,124,189,144
