,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg120103,4479,5,25,5
1,ipg120110,5292,7,35,12
2,ipg120117,4218,10,18,8
3,ipg120124,4725,3,23,6
4,ipg120131,5265,6,20,4
5,ipg120207,4302,6,26,7
6,ipg120214,5272,3,30,0
7,ipg120221,5284,7,35,9
8,ipg120228,5271,9,33,12
9,ipg120306,5333,8,37,7
10,ipg120313,4334,7,27,8
11,ipg120320,5414,5,28,5
12,ipg120327,5425,10,36,9
13,ipg120403,5623,6,33,9
14,ipg120410,5624,4,25,4
15,ipg120417,5432,5,32,4
16,ipg120424,5419,4,35,5
17,ipg120501,5520,6,37,5
18,ipg120508,5525,3,35,7
19,ipg120515,5319,8,36,10
20,ipg120522,5313,7,39,12
21,ipg120529,5726,7,42,9
22,ipg120605,5459,9,36,14
23,ipg120612,5470,6,46,8
24,ipg120619,4412,13,36,12
25,ipg120626,4912,10,38,10
26,ipg120703,5557,14,56,21
27,ipg120710,5548,9,36,11
28,ipg120717,5770,8,40,13
29,ipg120724,5537,16,44,17
30,ipg120731,4617,9,31,11
31,ipg120807,5676,5,38,11
32,ipg120814,5780,6,40,12
33,ipg120821,5766,21,52,26
34,ipg120828,5773,11,48,12
35,ipg120904,5766,11,43,15
36,ipg120911,5784,14,49,19
37,ipg120918,5782,15,47,18
38,ipg120925,4568,11,50,13
39,ipg121002,5625,16,56,16
40,ipg121009,5259,13,52,18
41,ipg121016,5670,14,51,21
42,ipg121023,5778,20,64,20
43,ipg121030,5761,20,64,22
44,ipg121106,5674,22,69,24
45,ipg121113,5517,20,51,27
46,ipg121120,4339,6,34,10
47,ipg121127,5925,15,50,19
48,ipg121204,5902,16,63,21
49,ipg121211,5913,25,65,27
50,ipg121218,3567,8,38,13
51,ipg121225,6063,16,71,25
