,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg200107,7889,194,317,244
1,ipg200114,5970,127,214,157
2,ipg200121,6149,144,241,175
3,ipg200128,6140,155,250,182
4,ipg200204,7870,205,307,233
5,ipg200211,6126,148,254,183
6,ipg200218,7883,187,315,235
7,ipg200225,7895,178,300,223
8,ipg200303,7877,157,280,197
9,ipg200310,6130,128,218,145
10,ipg200317,7875,167,292,206
11,ipg200324,7867,162,311,218
12,ipg200331,7898,173,321,219
13,ipg200407,7880,191,324,241
14,ipg200414,7872,189,314,226
15,ipg200421,7875,185,341,236
16,ipg200428,7861,214,356,257
17,ipg200505,7879,169,298,206
18,ipg200512,7885,181,316,222
19,ipg200519,7888,187,315,224
20,ipg200526,7882,191,338,244
21,ipg200602,7881,183,297,222
22,ipg200609,7869,164,299,195
23,ipg200616,6148,130,227,154
24,ipg200623,7869,164,289,202
25,ipg200630,7858,181,323,227
26,ipg200707,7890,193,317,237
27,ipg200714,7876,185,310,229
28,ipg200721,6120,160,274,200
29,ipg200728,7859,164,304,218
30,ipg200804,7874,203,304,244
31,ipg200811,7883,160,282,204
32,ipg200818,7860,194,334,241
33,ipg200825,7889,175,326,233
34,ipg200901,7886,195,308,217
35,ipg200908,7879,155,293,200
36,ipg200915,7726,174,290,217
37,ipg200922,7032,148,250,175
38,ipg200929,6316,171,272,212
39,ipg201006,7901,185,316,226
40,ipg201013,7909,155,287,201
41,ipg201020,7902,203,337,246
42,ipg201027,7890,176,294,205
43,ipg201103,7853,164,256,184
44,ipg201110,7873,185,267,208
45,ipg201117,7901,181,300,230
46,ipg201124,7889,201,357,259
47,ipg201201,7942,181,327,219
48,ipg201208,7949,178,312,223
49,ipg201215,6410,145,256,177
50,ipg201222,5179,117,212,153
51,ipg201229,7668,157,265,195
