,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg190101,7126,162,257,204
1,ipg190108,7161,199,317,234
2,ipg190115,4070,101,157,120
3,ipg190122,5984,116,200,147
4,ipg190129,7144,182,291,220
5,ipg190205,7136,170,271,200
6,ipg190212,5689,125,209,146
7,ipg190219,7172,155,252,184
8,ipg190226,7187,141,240,168
9,ipg190305,7164,189,272,215
10,ipg190312,5887,131,217,150
11,ipg190319,7220,171,274,193
12,ipg190326,7212,138,227,175
13,ipg190402,7286,166,272,211
14,ipg190409,7287,196,307,227
15,ipg190416,7398,157,275,210
16,ipg190423,7321,185,292,220
17,ipg190430,7470,149,259,185
18,ipg190507,7631,185,295,227
19,ipg190514,7581,150,253,186
20,ipg190521,7731,183,285,216
21,ipg190528,8061,214,337,245
22,ipg190604,8069,223,330,257
23,ipg190611,7972,171,303,219
24,ipg190618,6236,124,202,146
25,ipg190625,7999,147,257,180
26,ipg190702,8034,157,304,210
27,ipg190709,8016,182,291,214
28,ipg190716,8004,224,379,286
29,ipg190723,6239,159,239,186
30,ipg190730,6246,131,213,161
31,ipg190806,8014,194,283,215
32,ipg190813,8052,202,316,253
33,ipg190820,7890,174,299,212
34,ipg190827,8276,192,328,230
35,ipg190903,8288,205,298,228
36,ipg190910,8209,223,348,256
37,ipg190917,8159,202,329,239
38,ipg190924,6476,138,214,158
39,ipg191001,8128,175,301,218
40,ipg191008,8161,167,291,203
41,ipg191015,8521,188,308,229
42,ipg191022,7953,208,344,241
43,ipg191029,7976,192,297,218
44,ipg191105,8218,179,308,209
45,ipg191112,8179,202,348,255
46,ipg191119,8156,187,308,227
47,ipg191126,7886,162,285,193
48,ipg191203,7905,183,311,227
49,ipg191210,7901,174,285,197
50,ipg191217,6052,161,271,190
51,ipg191224,5599,159,230,181
52,ipg191231,7886,181,321,229
