,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
0,ipg130101,6082,26,72,28
1,ipg130108,6065,29,66,30
2,ipg130115,3727,15,42,15
3,ipg130122,3717,8,25,14
4,ipg130129,6055,25,71,29
5,ipg130205,6073,19,70,26
6,ipg130212,4901,14,38,15
7,ipg130219,6292,31,78,35
8,ipg130226,6254,17,54,20
9,ipg130305,6275,42,90,49
10,ipg130312,4720,27,65,31
11,ipg130319,6072,26,66,27
12,ipg130326,5648,29,76,40
13,ipg130402,5852,35,64,32
14,ipg130409,5413,23,53,23
15,ipg130416,6252,61,121,73
16,ipg130423,6062,32,69,38
17,ipg130430,5006,28,56,27
18,ipg130507,5104,36,67,39
19,ipg130514,5405,32,64,39
20,ipg130521,5417,29,70,39
21,ipg130528,5417,28,74,36
22,ipg130604,5953,28,57,30
23,ipg130611,5972,32,77,39
24,ipg130618,4665,31,66,35
25,ipg130625,5854,35,92,52
26,ipg130702,5681,40,83,50
27,ipg130709,5878,26,79,32
28,ipg130716,5865,39,87,45
29,ipg130723,5963,49,91,47
30,ipg130730,4017,25,59,27
31,ipg130806,6179,36,73,40
32,ipg130813,6172,53,104,59
33,ipg130820,6149,50,102,60
34,ipg130827,6157,59,101,65
35,ipg130903,6161,57,109,62
36,ipg130910,6173,56,109,63
37,ipg130917,6153,51,83,59
38,ipg130924,4924,43,93,51
39,ipg131001,5958,62,109,64
40,ipg131008,6227,58,105,63
41,ipg131015,6219,45,93,51
42,ipg131022,6180,55,115,74
43,ipg131029,6210,56,110,65
44,ipg131105,6209,77,121,84
45,ipg131112,6192,58,100,63
46,ipg131119,6246,57,99,56
47,ipg131126,6294,74,115,87
48,ipg131203,6267,68,114,71
49,ipg131210,6260,73,116,79
50,ipg131217,6253,59,117,76
51,ipg131224,3212,19,40,24
52,ipg131231,6190,49,109,55
